order_id,order_detail_id,fecha_id,fecha_entrega_id,cliente_id,empleado_id,producto_id,shipper_id,territorio_id,cantidad,unit_price,descuento,freight,subtotal,total_venta,costo_total,margen,margen_pct,order_date,required_date,shipped_date,dias_entrega,entrega_puntual
10248,10248-11,19960704,19960716,VINET,5,11,3,FRA-ST,12,14.0,0.0,32.38,168.0,168.0,151.2,16.8,10.0,1996-07-04,1996-08-01,1996-07-16,12,1
10248,10248-42,19960704,19960716,VINET,5,42,3,FRA-ST,10,9.8,0.0,32.38,98.0,98.0,84.0,14.0,14.29,1996-07-04,1996-08-01,1996-07-16,12,1
10248,10248-72,19960704,19960716,VINET,5,72,3,FRA-ST,5,34.8,0.0,32.38,174.0,174.0,104.4,69.6,40.0,1996-07-04,1996-08-01,1996-07-16,12,1
10249,10249-14,19960705,19960710,TOMSP,6,14,1,GER-BE,9,18.6,0.0,11.61,167.4,167.4,125.55,41.85,25.0,1996-07-05,1996-08-16,1996-07-10,5,1
10249,10249-51,19960705,19960710,TOMSP,6,51,1,GER-BE,40,42.4,0.0,11.61,1696.0,1696.0,1272.0,424.0,25.0,1996-07-05,1996-08-16,1996-07-10,5,1
10250,10250-41,19960708,19960712,HANAR,4,41,2,BRA-SA,10,7.7,0.0,65.83,77.0,77.0,57.9,19.1,24.81,1996-07-08,1996-08-05,1996-07-12,4,1
10250,10250-51,19960708,19960712,HANAR,4,51,2,BRA-SA,35,42.4,0.15,65.83,1484.0,1261.4,1113.0,148.4,11.76,1996-07-08,1996-08-05,1996-07-12,4,1
10250,10250-65,19960708,19960712,HANAR,4,65,2,BRA-SA,15,16.8,0.15,65.83,252.0,214.2,189.45,24.75,11.55,1996-07-08,1996-08-05,1996-07-12,4,1
10251,10251-22,19960708,19960715,VICTE,3,22,1,FRA-ST,6,16.8,0.05,41.34,100.8,95.76,75.6,20.16,21.05,1996-07-08,1996-08-05,1996-07-15,7,1
10251,10251-57,19960708,19960715,VICTE,3,57,1,FRA-ST,15,15.6,0.05,41.34,234.0,222.3,175.5,46.8,21.05,1996-07-08,1996-08-05,1996-07-15,7,1
10251,10251-65,19960708,19960715,VICTE,3,65,1,FRA-ST,20,16.8,0.0,41.34,336.0,336.0,252.6,83.4,24.82,1996-07-08,1996-08-05,1996-07-15,7,1
10252,10252-20,19960709,19960711,SUPRD,4,20,2,BEL-BR,40,64.8,0.05,51.3,2592.0,2462.4,1944.0,518.4,21.05,1996-07-09,1996-08-06,1996-07-11,2,1
10252,10252-33,19960709,19960711,SUPRD,4,33,2,BEL-BR,25,2.0,0.05,51.3,50.0,47.5,37.5,10.0,21.05,1996-07-09,1996-08-06,1996-07-11,2,1
10252,10252-60,19960709,19960711,SUPRD,4,60,2,BEL-BR,40,27.2,0.0,51.3,1088.0,1088.0,816.0,272.0,25.0,1996-07-09,1996-08-06,1996-07-11,2,1
10253,10253-31,19960710,19960716,HANAR,3,31,2,BRA-SA,20,10.0,0.0,58.17,200.0,200.0,150.0,50.0,25.0,1996-07-10,1996-07-24,1996-07-16,6,1
