empleado_id,anio,trimestre,meta_ventas_usd,categoria_meta
1,1996,1,12000.0,Básica
1,1996,2,12000.0,Básica
1,1996,3,12000.0,Básica
1,1996,4,12000.0,Básica
1,1997,1,12000.0,Básica
1,1997,2,12000.0,Básica
1,1997,3,12000.0,Básica
1,1997,4,12000.0,Básica
1,1998,1,12000.0,Básica
1,1998,2,12000.0,Básica
1,1998,3,12000.0,Básica
1,1998,4,12000.0,Básica
2,1996,1,18000.0,Agresiva
2,1996,2,18000.0,Agresiva
2,1996,3,18000.0,Agresiva
2,1996,4,18000.0,Agresiva
2,1997,1,18000.0,Agresiva
2,1997,2,18000.0,Agresiva
2,1997,3,18000.0,Agresiva
2,1997,4,18000.0,Agresiva
2,1998,1,18000.0,Agresiva
2,1998,2,18000.0,Agresiva
2,1998,3,18000.0,Agresiva
2,1998,4,18000.0,Agresiva
3,1996,1,12000.0,Básica
3,1996,2,12000.0,Básica
3,1996,3,12000.0,Básica
3,1996,4,12000.0,Básica
3,1997,1,12000.0,Básica
3,1997,2,12000.0,Básica
3,1997,3,12000.0,Básica
3,1997,4,12000.0,Básica
3,1998,1,12000.0,Básica
3,1998,2,12000.0,Básica
3,1998,3,12000.0,Básica
3,1998,4,12000.0,Básica
4,1996,1,12000.0,Básica
4,1996,2,12000.0,Básica
4,1996,3,12000.0,Básica
4,1996,4,12000.0,Básica
4,1997,1,12000.0,Básica
4,1997,2,12000.0,Básica
4,1997,3,12000.0,Básica
4,1997,4,12000.0,Básica
4,1998,1,12000.0,Básica
4,1998,2,12000.0,Básica
4,1998,3,12000.0,Básica
4,1998,4,12000.0,Básica
5,1996,1,15000.0,Estándar
5,1996,2,15000.0,Estándar
5,1996,3,15000.0,Estándar
5,1996,4,15000.0,Estándar
5,1997,1,15000.0,Estándar
5,1997,2,15000.0,Estándar
5,1997,3,15000.0,Estándar
5,1997,4,15000.0,Estándar
5,1998,1,15000.0,Estándar
5,1998,2,15000.0,Estándar
5,1998,3,15000.0,Estándar
5,1998,4,15000.0,Estándar
6,1996,1,12000.0,Básica
6,1996,2,12000.0,Básica
6,1996,3,12000.0,Básica
6,1996,4,12000.0,Básica
6,1997,1,12000.0,Básica
6,1997,2,12000.0,Básica
6,1997,3,12000.0,Básica
6,1997,4,12000.0,Básica
6,1998,1,12000.0,Básica
6,1998,2,12000.0,Básica
6,1998,3,12000.0,Básica
6,1998,4,12000.0,Básica
7,1996,1,12000.0,Básica
7,1996,2,12000.0,Básica
7,1996,3,12000.0,Básica
7,1996,4,12000.0,Básica
7,1997,1,12000.0,Básica
7,1997,2,12000.0,Básica
7,1997,3,12000.0,Básica
7,1997,4,12000.0,Básica
7,1998,1,12000.0,Básica
7,1998,2,12000.0,Básica
7,1998,3,12000.0,Básica
7,1998,4,12000.0,Básica
8,1996,1,12000.0,Básica
8,1996,2,12000.0,Básica
8,1996,3,12000.0,Básica
8,1996,4,12000.0,Básica
8,1997,1,12000.0,Básica
8,1997,2,12000.0,Básica
8,1997,3,12000.0,Básica
8,1997,4,12000.0,Básica
8,1998,1,12000.0,Básica
8,1998,2,12000.0,Básica
8,1998,3,12000.0,Básica
8,1998,4,12000.0,Básica
9,1996,1,12000.0,Básica
9,1996,2,12000.0,Básica
9,1996,3,12000.0,Básica
9,1996,4,12000.0,Básica
9,1997,1,12000.0,Básica
9,1997,2,12000.0,Básica
9,1997,3,12000.0,Básica
9,1997,4,12000.0,Básica
9,1998,1,12000.0,Básica
9,1998,2,12000.0,Básica
9,1998,3,12000.0,Básica
9,1998,4,12000.0,Básica
